time;V(U_a);V(U_e);
0.000328448;11.5784;12;
0.000329448;11.5792;12;
0.000330448;11.5799;12;
0.000331448;11.5806;12;
0.000332448;11.5813;12;
0.000333448;11.582;12;
0.000334448;11.5827;12;
0.000335448;11.5833;12;
0.000336448;11.5839;12;
0.000337448;11.5845;12;
0.000338448;11.5851;12;
0.000339448;11.5857;12;
0.000340448;11.5863;12;
0.000341448;11.5869;12;
0.000342448;11.5874;12;
0.000343448;11.5879;12;
0.000344448;11.5885;12;
0.000345448;11.589;12;
0.000346448;11.5895;12;
0.000347448;11.59;12;
0.000348448;11.5905;12;
0.000349448;11.5909;12;
0.000350448;11.5914;12;
0.000351448;11.5918;12;
0.000352389;11.5923;12;
0.000353307;11.5927;12;
0.000354194;11.5931;12;
0.000355051;11.5934;12;
0.000355887;11.5938;12;
0.000356699;11.5941;12;
0.000357555;11.5945;12;
0.000358501;11.5949;12;
0.000359501;11.5953;12;
0.000360501;11.5956;12;
0.000361501;11.596;12;
0.000362501;11.5964;12;
0.000363501;11.5968;12;
0.000364501;11.5972;12;
0.000365501;11.5975;12;
0.000366501;11.5979;12;
0.000367501;11.5982;12;
0.000368501;11.5986;12;
0.000369501;11.5989;12;
0.000370501;11.5993;12;
0.000371501;11.5996;12;
0.000372501;11.5999;12;
0.000373501;11.6003;12;
0.000374501;0.0205595;12;
0.000375156;0.0201948;12;
0.000375759;0.0205605;12;
0.000376392;0.0201938;12;
0.000377246;0.0205606;12;
0.000378246;0.0201933;12;
0.000379246;0.0205615;12;
0.000380246;0.0201926;12;
0.000381246;0.0205621;12;
0.000382246;0.020192;12;
0.000383246;0.0205624;12;
0.000384246;0.0201324;12;
0.000385153;0.0205025;12;
0.000385435;0.020151;12;
0.000385865;0.0205114;12;
0.000386439;0.0201508;12;
0.000387087;0.0205119;12;
0.000388087;0.02015;12;
0.000389087;0.0205125;12;
0.000390087;0.0201494;12;
0.000391087;0.020513;12;
0.000392087;0.0201489;12;
0.000393087;0.0205136;12;
0.000394087;0.0201483;12;
0.000395087;0.0205141;12;
0.000396087;0.0201477;12;
0.000397087;0.0205147;12;
0.000398087;0.0201471;12;
0.000399087;0.0205152;12;
0.000400087;0.0201465;12;
0.000401087;0.0205157;12;
0.000402087;0.020146;12;
0.000403087;0.0205163;12;
0.000404087;0.0201454;12;
0.000405087;0.0205168;12;
0.000406087;0.0201448;12;
0.000407087;0.0205174;12;
0.000408087;0.0201442;12;
0.000409087;0.0205179;12;
0.000410087;0.0201436;12;
0.000411087;0.0205184;12;
0.000412087;0.0201431;12;
0.000413087;0.020519;12;
0.000414087;0.0201425;12;
0.000415087;0.0205195;12;
0.000416087;0.0201419;12;
0.000417087;0.02052;12;
0.000418087;0.0201413;12;
0.000419087;0.0205205;12;
0.000420087;0.0201408;12;
0.000421087;0.0205211;12;
0.000422087;0.0201402;12;
0.000423087;0.0205216;12;
0.000424087;0.0201396;12;
0.000425087;0.0205221;12;
0.000426087;0.020139;12;
0.000427087;0.0205226;12;
0.000428087;0.0201385;12;
0.000429087;0.0205232;12;
0.000430087;0.0201379;12;
0.000431087;0.0205237;12;
0.000432087;0.0201373;12;
0.000433087;0.0205242;12;
0.000434087;0.0201368;12;
0.000435087;0.0205247;12;
0.000436087;0.0201362;12;
0.000437087;0.0205252;12;
0.000438087;0.0201356;12;
0.000439087;0.0205257;12;
0.000440087;0.0201351;12;
0.000441087;0.0205262;12;
0.000442087;0.0201345;12;
0.000443087;0.0205267;12;
0.000444087;0.020134;12;
0.000445004;0.0205273;12;
0.000445018;0.0203453;0;
0.000445047;6.37986;0;
0.000445062;11.1023;0;
0.00044507;11.4597;0;
0.000445073;11.4425;0;
0.000445075;11.4462;0;
0.000445076;11.4428;0;
0.000445076;11.4415;0;
0.000445076;11.4412;0;
0.000445077;11.4407;0;
0.000445077;11.4398;0;
0.000445078;11.4386;0;
0.000445079;11.4367;0;
0.000445081;11.434;0;
0.000445083;11.4313;0;
0.000445087;11.4278;0;
0.000445094;11.425;0;
0.000445102;11.425;0;
0.00044511;11.4263;0;
0.000445121;11.4286;0;
0.000445136;11.432;0;
0.000445157;11.4363;0;
0.000445193;11.4422;0;
0.000445264;11.4513;0;
0.000445407;11.4633;0;
0.000445596;11.4737;0;
0.000445815;11.482;0;
0.000446074;11.4893;0;
0.000446592;11.4997;0;
0.000447455;11.5111;0;
0.000448455;11.52;0;
0.000449455;11.5266;0;
0.000450002;11.5295;0;
0.00045001;11.5296;12;
0.000450025;11.5297;12;
0.000450034;11.5297;12;
0.000450041;11.5297;12;
0.000450049;11.5298;12;
0.000450054;11.5298;12;
0.000450059;11.5298;12;
0.000450064;11.5298;12;
0.000450069;11.5299;12;
0.000450074;11.5299;12;
0.000450078;11.5299;12;
0.000450082;11.5299;12;
0.000450086;11.53;12;
0.00045009;11.53;12;
0.000450093;11.53;12;
0.000450097;11.53;12;
0.000450101;11.53;12;
0.000450105;11.53;12;
0.000450108;11.5301;12;
0.000450112;11.5301;12;
0.000450116;11.5301;12;
0.00045012;11.5301;12;
0.000450124;11.5301;12;
0.00045013;11.5302;12;
0.000450136;11.5302;12;
0.000450143;11.5302;12;
0.000450153;11.5303;12;
0.000450166;11.5304;12;
0.000450185;11.5304;12;
0.000450214;11.5306;12;
0.000450256;11.5308;12;
0.000450319;11.5311;12;
0.000450412;11.5315;12;
0.00045055;11.5322;12;
0.000450756;11.5331;12;
0.000451132;11.5347;12;
0.000451876;11.5377;12;
0.000452601;11.5403;12;
0.000453467;11.543;12;
0.000454467;11.5459;12;
0.000455467;11.5485;12;
0.000456467;11.5509;12;
0.000457467;11.553;12;
0.000458467;11.555;12;
0.000459467;11.5568;12;
0.000460467;11.5586;12;
0.000461467;11.5602;12;
0.000462467;11.5617;12;
0.000463467;11.5631;12;
0.000464467;11.5645;12;
0.000465467;11.5658;12;
0.000466467;11.567;12;
0.000467467;11.5682;12;
0.000468467;11.5693;12;
0.000469467;11.5704;12;
0.000470467;11.5714;12;
0.000471467;11.5724;12;
0.000472467;11.5734;12;
0.000473467;11.5743;12;
0.000474467;11.5752;12;
0.000475467;11.576;12;
0.000476467;11.5769;12;
0.000477467;11.5777;12;
0.000478467;11.5784;12;
0.000479467;11.5792;12;
0.000480467;11.5799;12;
0.000481467;11.5806;12;
0.000482467;11.5813;12;
0.000483467;11.582;12;
0.000484467;11.5827;12;
0.000485467;11.5833;12;
0.000486467;11.5839;12;
0.000487467;11.5845;12;
0.000488467;11.5852;12;
0.000489467;11.5857;12;
0.000490467;11.5863;12;
0.000491467;11.5869;12;
0.000492467;11.5874;12;
0.000493467;11.5879;12;
0.000494467;11.5885;12;
0.000495467;11.589;12;
0.000496467;11.5895;12;
0.000497467;11.59;12;
0.000498467;11.5905;12;
0.000499467;11.5909;12;
0.000500467;11.5914;12;
0.000501467;11.5918;12;
0.000502467;11.5923;12;
0.000503467;11.5927;12;
0.000504467;11.5932;12;
0.000505467;11.5936;12;
0.000506467;11.594;12;
0.000507467;11.5944;12;
0.000508467;11.5948;12;
0.000509467;11.5952;12;
0.000510467;11.5956;12;
0.000511467;11.596;12;
0.000512467;11.5964;12;
0.000513467;11.5968;12;
0.000514467;11.5971;12;
0.000515467;11.5975;12;
0.000516467;11.5979;12;
0.000517467;11.5982;12;
0.000518467;11.5986;12;
0.000519467;11.5989;12;
0.000520467;11.5993;12;
0.000521467;11.5996;12;
0.000522467;11.5999;12;
0.000523467;11.6002;12;
0.000524349;0.0205872;12;
0.000524765;0.0201642;12;
0.000525267;0.0205887;12;
0.000525788;0.0201698;12;
0.000526545;0.0205887;12;
0.000527545;0.0201698;12;
0.000528545;0.0205899;12;
0.000529545;0.0201682;12;
0.000530545;0.0205906;12;
0.000531545;0.0201675;12;
0.000532545;0.0205912;12;
0.000533545;0.020153;12;
0.000534339;0.0205108;12;
0.000534825;0.0201297;12;
0.000535134;0.0205338;12;
0.000535507;0.0201299;12;
0.000536076;0.0205357;12;
0.00053693;0.0201288;12;
0.00053793;0.0205362;12;
0.00053893;0.0201281;12;
0.00053993;0.0205369;12;
0.00054093;0.0201274;12;
0.00054193;0.0205376;12;
0.00054293;0.0201266;12;
0.00054393;0.0205383;12;
0.00054493;0.0201259;12;
0.00054593;0.0205389;12;
0.00054693;0.0201251;12;
0.00054793;0.0205396;12;
0.00054893;0.0201244;12;
0.00054993;0.0205403;12;
0.00055093;0.0201237;12;
0.00055193;0.0205409;12;
0.00055293;0.0201229;12;
0.00055393;0.0205416;12;
0.00055493;0.0201222;12;
0.00055593;0.0205422;12;
0.00055693;0.0201215;12;
0.00055793;0.0205429;12;
0.00055893;0.0201207;12;
0.00055993;0.0205435;12;
0.00056093;0.02012;12;
0.00056193;0.0205442;12;
0.00056293;0.0201193;12;
0.00056393;0.0205448;12;
0.00056493;0.0201186;12;
0.00056593;0.0205455;12;
0.00056693;0.0201179;12;
0.00056793;0.0205461;12;
0.00056893;0.0201171;12;
0.00056993;0.0205467;12;
0.00057093;0.0201164;12;
0.00057193;0.0205474;12;
0.00057293;0.0201157;12;
0.00057393;0.020548;12;
0.00057493;0.020115;12;
0.00057593;0.0205486;12;
0.00057693;0.0201143;12;
0.00057793;0.0205493;12;
0.00057893;0.0201136;12;
0.00057993;0.0205499;12;
