time;V(U_a);V(U_e);
0.002;11.5481;12;
0.002;11.5481;12;
0.002;11.5482;12;
0.002;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200001;11.5482;12;
0.00200002;11.5483;12;
0.00200003;11.5483;12;
0.00200004;11.5483;12;
0.00200004;11.5483;12;
0.00200005;11.5483;12;
0.00200006;11.5484;12;
0.00200008;11.5484;12;
0.0020001;11.5485;12;
0.00200014;11.5486;12;
0.00200019;11.5487;12;
0.00200026;11.5489;12;
0.00200038;11.5491;12;
0.00200058;11.5496;12;
0.00200096;11.5505;12;
0.00200134;11.5513;12;
0.00200173;11.5522;12;
0.00200195;11.5527;12;
0.00200212;11.553;12;
0.00200222;11.5532;12;
0.00200229;11.5534;12;
0.00200235;11.5535;12;
0.00200242;11.5536;12;
0.00200248;11.5538;12;
0.00200257;11.5539;12;
0.00200271;11.5542;12;
0.00200298;11.5547;12;
0.00200352;11.5557;12;
0.0020046;11.5577;12;
0.00200676;11.5612;12;
0.00201107;11.567;12;
0.0020197;11.5758;12;
0.00203696;11.5878;12;
0.00206468;11.5997;12;
0.00208907;11.6068;12;
0.00209088;11.6072;12;
0.00209449;11.6081;12;
0.00209816;11.609;12;
0.0021018;0.0204218;12;
0.00210433;0.0203217;12;
0.00210666;0.0204219;12;
0.00210959;0.0203097;12;
0.00211105;0.0203827;12;
0.00211229;0.0202653;12;
0.0021128;0.0203634;12;
0.00211328;0.0202779;12;
0.00211384;0.0203695;12;
0.00211456;0.0202779;12;
0.00211539;0.0203697;12;
0.00211682;0.0202777;12;
0.00211852;0.0203698;12;
0.00212139;0.0202776;12;
0.00212647;0.0203699;12;
0.00213625;0.0202776;12;
0.00215579;0.0203699;12;
0.00219488;0.0202776;12;
0.00227305;0.0203615;12;
0.00237305;0.0202712;12;
0.00247305;0.0203658;12;
0.00257305;0.0202724;12;
0.00267305;0.0203657;12;
0.00277305;0.0202724;12;
0.00287305;0.0203658;12;
0.00297305;0.0202724;12;
0.00299;0.0203684;12;
0.00299;0.0203095;10.8;
0.00299;0.0203066;8.4;
0.00299;0.0203342;6.11493;
0.00299001;0.0203551;3.92666;
0.00299001;0.0203963;1.62997;
0.00299001;0.0204224;0;
0.00299001;0.0204276;0;
0.00299001;0.0204376;0;
0.00299001;0.0204597;0;
0.00299001;0.0204886;0;
0.00299001;0.0205169;0;
0.00299001;0.0205365;0;
0.00299001;0.0205437;0;
0.00299001;0.0205375;0;
0.00299001;0.0205204;0;
0.00299001;0.0204954;0;
0.00299001;0.0204721;0;
0.00299001;0.0204503;0;
0.00299001;0.0204289;0;
0.00299001;0.0204046;0;
0.00299001;0.0203723;0;
0.00299001;0.0203441;0;
0.00299001;0.0203074;0;
0.00299001;0.0202924;0;
0.00299001;0.0202892;0;
0.00299002;0.0203057;0;
0.00299002;0.0203154;0;
0.00299002;0.0203226;0;
0.00299003;0.0203236;0;
0.00299003;0.0203235;0;
0.00299004;0.0203231;0;
0.00299004;0.0203188;0;
0.00299004;0.0203232;0;
0.00299005;0.971339;0;
0.00299005;3.27611;0;
0.00299005;4.62385;0;
0.00299005;5.4525;0;
0.00299005;5.90143;0;
0.00299006;6.38648;0;
0.00299006;6.95384;0;
0.00299006;7.40572;0;
0.00299006;8.00518;0;
0.00299006;8.58461;0;
0.00299006;9.20156;0;
0.00299006;9.84324;0;
0.00299007;10.45;0;
0.00299007;10.8965;0;
0.00299008;11.1031;0;
0.00299008;11.2268;0;
0.00299009;11.2955;0;
0.00299009;11.3382;0;
0.0029901;11.3675;0;
0.00299011;11.3858;0;
0.00299012;11.4013;0;
0.00299013;11.4099;0;
0.00299016;11.4219;0;
0.0029902;11.4312;0;
0.00299027;11.4449;0;
0.00299041;11.4594;0;
0.00299068;11.4757;0;
0.00299122;11.492;0;
0.00299203;11.5063;0;
0.00299364;11.5215;0;
0.00299686;11.539;0;
0.003;11.5479;0;
0.003;11.5481;1.2;
0.003;11.5482;3.6;
0.003;11.5481;5.76639;
0.003;11.5481;7.70006;
0.003;11.5481;9.55714;
0.003;11.5481;12;
0.003;11.5481;12;
0.003;11.5481;12;
0.003;11.5481;12;
0.003;11.5482;12;
0.003;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300001;11.5482;12;
0.00300002;11.5483;12;
0.00300003;11.5483;12;
0.00300004;11.5483;12;
0.00300004;11.5483;12;
0.00300005;11.5483;12;
0.00300006;11.5484;12;
0.00300008;11.5484;12;
0.0030001;11.5485;12;
0.00300014;11.5486;12;
0.00300019;11.5487;12;
0.00300026;11.5489;12;
0.00300038;11.5491;12;
0.00300058;11.5496;12;
0.00300096;11.5505;12;
0.00300134;11.5513;12;
0.00300173;11.5522;12;
0.00300195;11.5527;12;
0.00300212;11.553;12;
0.00300221;11.5532;12;
0.00300229;11.5534;12;
0.00300235;11.5535;12;
0.00300242;11.5536;12;
0.00300249;11.5538;12;
0.00300257;11.5539;12;
0.00300271;11.5542;12;
0.00300297;11.5547;12;
0.0030035;11.5557;12;
0.00300456;11.5576;12;
0.00300667;11.561;12;
0.0030109;11.5668;12;
0.00301936;11.5755;12;
0.00303628;11.5874;12;
0.00307011;11.6017;12;
0.00309932;0.0203616;12;
0.00311209;-0.210021;12;
0.00312018;0.0205184;12;
0.00312433;0.0203019;12;
0.00312804;0.0203473;12;
0.0031306;0.0203094;12;
0.00313279;0.0203347;12;
0.00313446;0.0203133;12;
0.0031362;0.0203327;12;
0.00313787;0.0203147;12;
0.00313983;0.020332;12;
0.00314229;0.0203151;12;
0.00314564;0.0203318;12;
0.00315064;0.0203152;12;
0.0031584;0.0203317;12;
0.00317099;0.0203152;12;
0.00319189;0.0203317;12;
0.003227;0.0203153;12;
0.00328675;0.0203317;12;
0.00338675;0.0203153;12;
0.00348675;0.0203317;12;
0.00358675;0.0203153;12;
0.00368675;0.0203317;12;
0.00378675;0.0203153;12;
0.00388675;0.0203317;12;
0.00398675;0.0203153;12;
0.00399;0.0203316;12;
0.00399;0.0203252;10.8;
0.00399;0.0203295;8.4;
0.00399;0.0203446;6.11512;
0.00399001;0.020367;3.92796;
0.00399001;0.0204003;1.63279;
0.00399001;0.020428;0;
0.00399001;0.0204321;0;
0.00399001;0.0204412;0;
0.00399001;0.0204631;0;
0.00399001;0.0204912;0;
0.00399001;0.020519;0;
0.00399001;0.0205379;0;
0.00399001;0.0205449;0;
0.00399001;0.0205382;0;
0.00399001;0.020521;0;
0.00399001;0.0204958;0;
0.00399001;0.0204725;0;
0.00399001;0.0204507;0;
0.00399001;0.0204293;0;
0.00399001;0.020405;0;
0.00399001;0.0203727;0;
0.00399001;0.0203444;0;
0.00399001;0.0203077;0;
0.00399001;0.0202927;0;
0.00399001;0.0202895;0;
0.00399002;0.0203059;0;
0.00399002;0.0203155;0;
0.00399002;0.0203227;0;
0.00399003;0.0203237;0;
0.00399003;0.0203236;0;
0.00399004;0.0203231;0;
0.00399004;0.0203188;0;
0.00399005;0.50265;0;
0.00399005;2.58064;0;
0.00399005;4.35321;0;
0.00399005;5.6086;0;
0.00399005;6.1452;0;
0.00399005;6.41351;0;
0.00399005;6.72824;0;
0.00399005;7.02891;0;
0.00399005;7.30577;0;
0.00399006;7.61049;0;
0.00399006;7.91699;0;
0.00399006;8.27514;0;
0.00399006;8.7181;0;
0.00399006;9.27512;0;
0.00399006;9.8909;0;
0.00399007;10.5003;0;
0.00399007;10.9819;0;
0.00399008;11.1713;0;
0.00399008;11.2633;0;
0.00399009;11.3161;0;
0.00399009;11.3457;0;
0.0039901;11.3708;0;
0.00399011;11.3856;0;
0.00399012;11.3984;0;
0.00399013;11.4081;0;
0.00399015;11.4168;0;
0.00399018;11.4267;0;
0.00399023;11.4393;0;
0.00399035;11.4546;0;
0.00399058;11.4709;0;
0.00399098;11.486;0;
0.00399174;11.5019;0;
0.00399302;11.5169;0;
0.00399559;11.5332;0;
0.004;11.5485;0;
0.004;11.5485;1.2;
0.004;11.5484;3.6;
0.004;11.5484;5.76424;
0.004;11.5484;7.69716;
0.004;11.5484;9.55486;
0.004;11.5484;12;
0.004;11.5484;12;
0.004;11.5484;12;
0.004;11.5484;12;
0.004;11.5484;12;
0.004;11.5484;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400001;11.5485;12;
0.00400002;11.5485;12;
0.00400003;11.5485;12;
0.00400004;11.5485;12;
0.00400004;11.5485;12;
0.00400005;11.5486;12;
0.00400006;11.5486;12;
0.00400008;11.5486;12;
0.0040001;11.5487;12;
0.00400014;11.5488;12;
0.00400019;11.5489;12;
0.00400026;11.5491;12;
0.00400038;11.5494;12;
0.00400059;11.5499;12;
0.00400101;11.5508;12;
0.00400138;11.5516;12;
0.00400173;11.5524;12;
0.00400188;11.5527;12;
0.00400199;11.5529;12;
0.00400206;11.5531;12;
0.00400214;11.5532;12;
0.00400221;11.5534;12;
0.00400229;11.5535;12;
0.00400238;11.5537;12;
0.0040025;11.554;12;
0.00400264;11.5542;12;
0.00400287;11.5547;12;
0.00400326;11.5554;12;
0.00400405;11.5569;12;
0.00400561;11.5595;12;
0.00400875;11.5641;12;
0.00401502;11.5715;12;
0.00402756;11.582;12;
0.00405265;11.5953;12;
0.0040685;11.601;12;
0.00409273;11.6077;12;
0.00409486;11.6082;12;
0.00409913;0.0204143;12;
0.00410141;0.020314;12;
0.00410358;0.0204143;12;
0.00410665;0.0203134;12;
0.00410815;0.0203643;12;
0.00410956;0.0202769;12;
0.00411004;0.0203608;12;
0.00411063;0.0202851;12;
0.00411122;0.0203625;12;
0.00411196;0.0202847;12;
0.00411336;0.0203626;12;
0.00411489;0.0202846;12;
0.00411745;0.0203627;12;
0.00412174;0.0202846;12;
0.00412949;0.0203628;12;
0.00414498;0.0202845;12;
0.00417597;0.0203628;12;
0.00423794;0.0202752;12;
0.00433794;0.0203575;12;
0.00443794;0.0202809;12;
0.00453794;0.0203597;12;
0.00463794;0.0202808;12;
0.00473794;0.0203597;12;
0.00483794;0.0202808;12;
0.00493794;0.0203597;12;
0.00499;0.0202825;12;
0.00499;0.0203385;10.8;
0.00499;0.0203519;8.4;
0.00499;0.020352;6.11575;
0.00499001;0.0203771;3.9291;
0.00499001;0.0204017;1.63298;
0.00499001;0.0204319;0;
0.00499001;0.0204349;0;
0.00499001;0.0204429;0;
0.00499001;0.0204644;0;
0.00499001;0.0204919;0;
0.00499001;0.0205195;0;
0.00499001;0.0205382;0;
0.00499001;0.0205452;0;
0.00499001;0.0205385;0;
0.00499001;0.0205215;0;
0.00499001;0.0204964;0;
0.00499001;0.0204731;0;
0.00499001;0.0204513;0;
0.00499001;0.02043;0;
0.00499001;0.0204056;0;
0.00499001;0.0203732;0;
0.00499001;0.0203447;0;
0.00499001;0.0203077;0;
0.00499001;0.0202925;0;
0.00499001;0.0202891;0;
0.00499002;0.0203056;0;
0.00499002;0.0203153;0;
0.00499002;0.0203226;0;
0.00499003;0.0203236;0;
0.00499003;0.0203235;0;
0.00499004;0.0203231;0;
0.00499004;0.0203188;0;
0.00499004;0.0203232;0;
0.00499005;0.971605;0;
0.00499005;3.27903;0;
0.00499005;4.61692;0;
0.00499005;5.44542;0;
0.00499005;5.89636;0;
0.00499006;6.38275;0;
0.00499006;6.95195;0;
0.00499006;7.4061;0;
0.00499006;8.00848;0;
0.00499006;8.59101;0;
0.00499006;9.21134;0;
0.00499006;9.85584;0;
0.00499007;10.4638;0;
0.00499007;10.8991;0;
0.00499008;11.1041;0;
0.00499008;11.2272;0;
0.00499009;11.2962;0;
0.00499009;11.3385;0;
0.0049901;11.3675;0;
0.00499011;11.3858;0;
0.00499012;11.4012;0;
0.00499013;11.4098;0;
0.00499016;11.4218;0;
0.0049902;11.4312;0;
0.00499027;11.4449;0;
0.00499041;11.4595;0;
0.00499069;11.476;0;
0.00499123;11.4923;0;
0.00499204;11.5066;0;
0.00499366;11.5216;0;
0.00499689;11.5391;0;
0.005;11.5479;0;
0.005;11.5481;1.2;
0.005;11.5482;3.6;
0.005;11.5481;5.7664;
0.005;11.5481;7.70007;
0.005;11.5481;9.55715;
0.005;11.5481;12;
0.005;11.5481;12;
0.005;11.5481;12;
0.005;11.5481;12;
0.005;11.5482;12;
0.005;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500001;11.5482;12;
0.00500002;11.5483;12;
0.00500003;11.5483;12;
0.00500004;11.5483;12;
0.00500004;11.5483;12;
0.00500005;11.5483;12;
0.00500006;11.5484;12;
0.00500008;11.5484;12;
0.0050001;11.5485;12;
0.00500014;11.5485;12;
0.00500019;11.5487;12;
0.00500026;11.5489;12;
0.00500038;11.5491;12;
0.00500058;11.5496;12;
0.00500096;11.5505;12;
0.00500134;11.5513;12;
0.00500173;11.5522;12;
0.00500195;11.5527;12;
0.00500212;11.553;12;
0.00500221;11.5532;12;
0.00500229;11.5534;12;
0.00500235;11.5535;12;
0.00500242;11.5536;12;
0.00500249;11.5537;12;
0.00500257;11.5539;12;
0.00500271;11.5542;12;
0.00500297;11.5547;12;
0.0050035;11.5557;12;
0.00500455;11.5576;12;
0.00500666;11.561;12;
0.00501086;11.5667;12;
0.00501928;11.5755;12;
0.00503612;11.5873;12;
0.00506979;11.6016;12;
0.00509368;11.6126;12;
0.00510892;0.0203837;12;
0.00511638;0.0209328;12;
0.00511989;0.0204302;12;
0.00512176;0.0203034;12;
0.00512381;0.0203357;12;
0.00512618;0.0203109;12;
0.00512712;0.0203364;12;
0.00512867;0.0203105;12;
0.00513176;0.0203365;12;
0.00513508;0.0203104;12;
0.00514172;0.0203365;12;
0.00515499;0.0203104;12;
0.00518065;0.0203365;12;
0.00523198;0.0203104;12;
0.00533198;0.0203365;12;
0.00543198;0.0203104;12;
0.00553198;0.0203365;12;
0.00563198;0.0203104;12;
0.00573198;0.0203365;12;
