time;V(U_a)1;V(U_o)1;
0.0025542;0.0655816;1.95748;
0.0025542;0.0618704;2.01724;
0.00255421;0.0564392;2.10055;
0.00255422;0.0499019;2.19939;
0.00255423;0.0437957;2.29345;
0.00255424;0.0377379;2.39102;
0.00255425;0.0317326;2.49446;
0.00255427;0.0232667;2.65862;
0.00255429;0.0144963;2.86819;
0.00255431;0.00748423;3.09657;
0.00255433;0.00237072;3.35015;
0.00255436;-0.000765451;3.62321;
0.00255438;-0.00199874;3.82704;
0.0025544;-0.00254261;3.98519;
0.00255441;-0.00286064;4.13996;
0.00255443;-0.00307226;4.31997;
0.00255445;-0.00319794;4.49463;
0.00255447;-0.00331616;4.69918;
0.00255449;-0.0034567;4.91228;
0.00255452;-0.00368078;5.17389;
0.00255455;-0.00401653;5.47563;
0.00255459;-0.00458679;5.90324;
0.00255466;-0.00559705;6.58764;
0.00255472;-0.0066055;7.26065;
0.0025548;-0.00772998;8.02162;
0.0025549;-0.00924231;9.05173;
0.00255496;-0.0100263;9.58434;
0.00255499;-0.0104932;9.90242;
0.00255501;-0.0107661;10.0874;
0.00255502;-0.0109326;10.1951;
0.00255503;-0.0112459;10.2759;
0.00255503;-0.0120197;10.3149;
0.00255504;-0.0133725;10.3369;
0.00255505;-0.0155351;10.3538;
0.00255506;-0.0179645;10.3658;
0.00255507;-0.0202099;10.3746;
0.00255507;-0.0218338;10.3807;
0.00255509;-0.0232515;10.3868;
0.0025551;-0.0240892;10.3925;
0.00255512;-0.0240471;10.3987;
0.00255514;-0.0228594;10.4043;
0.00255516;-0.0208805;10.4094;
0.00255518;-0.0191536;10.4131;
0.00255519;-0.0177715;10.4161;
0.00255521;-0.0168944;10.4183;
0.00255522;-0.0163071;10.4201;
0.00255524;-0.0159237;10.4218;
0.00255525;-0.0156916;10.4235;
0.00255526;-0.0156209;10.425;
0.00255528;-0.0156732;10.4267;
0.0025553;-0.0158408;10.4283;
0.00255532;-0.0161379;10.4302;
0.00255534;-0.0165203;10.432;
0.00255537;-0.0170216;10.4343;
0.0025554;-0.0174889;10.4363;
0.00255544;-0.0180508;10.4387;
0.00255549;-0.0187149;10.4414;
0.00255557;-0.0197805;10.4452;
0.00255566;-0.0208729;10.4483;
0.00255577;-0.0223441;10.4518;
0.002556;-0.0252848;10.4571;
0.00255621;-0.0279917;10.4607;
0.00255658;-0.0327437;10.4651;
0.00255696;-0.037708;10.4682;
0.00255773;-0.0476414;10.472;
0.00255857;-0.0584093;10.4741;
0.00255998;-0.0766967;10.4758;
0.00256147;-0.0958689;10.4764;
0.0025637;-0.124688;10.4766;
0.00256635;-0.15888;10.4767;
0.00257114;-0.220778;10.4767;
0.00257876;-0.319168;10.4767;
0.00258876;-0.448282;10.4767;
0.00259876;-0.57738;10.4767;
0.00260876;-0.706468;10.4767;
0.00261876;-0.83554;10.4767;
0.00262876;-0.964602;10.4767;
0.00263876;-1.09365;10.4767;
0.00264876;-1.22268;10.4767;
0.00265876;-1.3517;10.4767;
0.00266876;-1.48071;10.4767;
0.00267876;-1.60971;10.4767;
0.00268876;-1.73869;10.4767;
0.00269876;-1.86766;10.4767;
0.00270876;-1.99662;10.4767;
0.00271876;-2.12556;10.4767;
0.00272876;-2.25449;10.4767;
0.00273876;-2.38341;10.4767;
0.00274876;-2.51232;10.4767;
0.00275876;-2.64121;10.4767;
0.00276876;-2.77009;10.4767;
0.00277876;-2.89895;10.4767;
0.00278876;-3.02781;10.4767;
0.00279876;-3.15665;10.4767;
0.00280876;-3.28547;10.4767;
0.00281876;-3.41429;10.4767;
0.00282876;-3.54309;10.4767;
0.00283876;-3.67188;10.4767;
0.00284876;-3.80065;10.4767;
0.00285876;-3.92941;10.4767;
0.00286876;-4.05817;10.4767;
0.00287876;-4.1869;10.4767;
0.00288876;-4.31563;10.4767;
0.00289876;-4.44434;10.4767;
0.00290876;-4.57303;10.4767;
0.00291876;-4.70172;10.4767;
0.00292876;-4.83039;10.4767;
0.00293876;-4.95905;10.4767;
0.00294876;-5.0877;10.4767;
0.00295876;-5.21633;10.4767;
0.00296876;-5.34495;10.4767;
0.00297876;-5.47356;10.4767;
0.00298876;-5.60215;10.4766;
0.00299876;-5.73073;10.4762;
0.00300876;-5.8593;10.475;
0.00301876;-5.98786;10.4732;
0.00302876;-6.1164;10.4706;
0.00303876;-6.24493;10.4673;
0.00304876;-6.37344;10.463;
0.00305876;-6.50194;10.4574;
0.00306876;-6.63043;10.4496;
0.00307876;-6.7589;10.4374;
0.00308876;-6.88736;10.41;
0.00308916;-6.89248;10.4078;
0.00308995;-6.90272;10.4027;
0.0030911;-6.91738;10.3923;
0.00309175;-6.92582;10.3828;
0.0030922;-6.93161;10.3722;
0.00309249;-6.93533;10.3611;
0.00309253;-6.9358;10.3591;
0.0030926;-6.93673;10.3548;
