time;V(/U_ein);V(U_aus);
0.482135;0.112013;-10.3883;
0.483135;0.105767;-10.3808;
0.484135;0.0995168;-10.3714;
0.485135;0.0932629;-10.3595;
0.486135;0.0870053;-10.3439;
0.487135;0.0807442;-10.3237;
0.488135;0.07448;-10.298;
0.489135;0.0682128;-10.2666;
0.490135;0.061943;-10.2291;
0.491135;0.0556707;-10.1858;
0.492135;0.0493962;-10.1367;
0.493135;0.0431197;-10.0818;
0.494135;0.0368416;-10.0212;
0.495135;0.030562;-9.95499;
0.496135;0.0242812;-9.88315;
0.497135;0.0179994;-9.80582;
0.498135;0.0117169;-9.72296;
0.499135;0.00543397;-9.63472;
0.500135;-0.000849193;-9.54106;
0.501135;-0.00713232;-9.44213;
0.502135;-0.0134152;-9.33788;
0.503135;-0.0196975;-9.22847;
0.504135;-0.025979;-9.11385;
0.505135;-0.0322595;-8.99417;
0.506135;-0.0385388;-8.86939;
0.507135;-0.0448165;-8.73965;
0.508135;-0.0510924;-8.6049;
0.509135;-0.0573664;-8.4653;
0.510135;-0.063638;-8.32081;
0.511135;-0.0699072;-8.17156;
0.512135;-0.0761736;-8.01751;
0.513135;-0.0824369;-7.85881;
0.514135;-0.0886971;-7.69541;
0.515135;-0.0949537;-7.52746;
0.516135;-0.101207;-7.3549;
0.517135;-0.107455;-7.1779;
0.518135;-0.1137;-6.99639;
0.519135;-0.11994;-6.81053;
0.520135;-0.126176;-6.62026;
0.521135;-0.132406;-6.42574;
0.522135;-0.138631;-6.2269;
0.523135;-0.144851;-6.0239;
0.524135;-0.151065;-5.81669;
0.525135;-0.157273;-5.60541;
0.526135;-0.163475;-5.39001;
0.527135;-0.16967;-5.17063;
0.528135;-0.175859;-4.94723;
0.529135;-0.182041;-4.71995;
0.530135;-0.188215;-4.48874;
0.531135;-0.194383;-4.25373;
0.532135;-0.200542;-4.01488;
0.533135;-0.206694;-3.77234;
0.534135;-0.212837;-3.52604;
0.535135;-0.218972;-3.27614;
0.536135;-0.225098;-3.02257;
0.537135;-0.231216;-2.76549;
0.538135;-0.237324;-2.50483;
0.539135;-0.243423;-2.24075;
0.540135;-0.249512;-1.97318;
0.541135;-0.255592;-1.70227;
0.542135;-0.261661;-1.42796;
0.543135;-0.26772;-1.1504;
0.544135;-0.273769;-0.86953;
0.545135;-0.279806;-0.585491;
0.546135;-0.285833;-0.298231;
0.547135;-0.291848;-0.00788563;
0.548135;-0.297852;0.285595;
0.549135;-0.303844;0.582076;
0.550135;-0.309825;0.881609;
0.551135;-0.315792;1.18406;
