time	V(n001)	V(n002)
5.354801988981943e-004	8.004366e+000	5.494447e-001
5.354901988981944e-004	8.003293e+000	2.048375e-001
5.355101988981944e-004	8.001099e+000	8.079614e-002
5.355501988981943e-004	7.996699e+000	6.603706e-002
5.421390381839086e-004	7.315486e+000	6.041873e-002
5.487278774696229e-004	6.682525e+000	5.519815e-002
5.553167167553372e-004	6.097815e+000	5.037532e-002
5.619055560410516e-004	5.561357e+000	4.595025e-002
5.684943953267658e-004	5.073151e+000	4.192292e-002
5.750832346124802e-004	4.633196e+000	3.829335e-002
5.816720738981944e-004	4.241494e+000	3.506152e-002
5.859971710203870e-004	3.996631e+000	3.304005e-002
5.860071710203870e-004	3.996082e+000	3.422105e-002
5.860171710203871e-004	3.995533e+000	5.188330e-002
5.860271710203871e-004	3.994988e+000	1.819094e-001
5.860371710203872e-004	3.994475e+000	9.140009e-001
5.860471710203872e-004	3.994134e+000	3.289035e+000
5.860671710203872e-004	3.994913e+000	1.040633e+001
5.860721710203872e-004	3.995439e+000	1.145054e+001
5.860821710203872e-004	3.996512e+000	1.179516e+001
5.861021710203872e-004	3.998706e+000	1.191920e+001
5.886509656632444e-004	4.273462e+000	1.192819e+001
5.911997603061015e-004	4.539515e+000	1.193557e+001
5.937485549489587e-004	4.796863e+000	1.194134e+001
5.962973495918158e-004	5.045506e+000	1.194549e+001
5.988461442346729e-004	5.285446e+000	1.194804e+001
6.013949388775301e-004	5.516681e+000	1.194896e+001
6.039437335203872e-004	5.739212e+000	1.194828e+001
6.049202960203872e-004	5.822710e+000	1.194897e+001
6.094456091307388e-004	6.192241e+000	1.195202e+001
6.139709222410905e-004	6.542453e+000	1.195491e+001
6.184962353514421e-004	6.873345e+000	1.195764e+001
6.230215484617936e-004	7.184918e+000	1.196021e+001
6.275468615721453e-004	7.477172e+000	1.196262e+001
6.320721746824969e-004	7.750106e+000	1.196487e+001
6.365974877928485e-004	8.003721e+000	1.196696e+001
6.366074877928485e-004	8.004271e+000	1.195049e+001
6.366174877928486e-004	8.004815e+000	1.181927e+001
6.366274877928486e-004	8.005328e+000	1.108596e+001
6.366374877928487e-004	8.005670e+000	8.710904e+000
6.366574877928487e-004	8.004891e+000	1.593649e+000
6.366624877928486e-004	8.004365e+000	5.494447e-001
6.366724877928487e-004	8.003292e+000	2.048375e-001
6.366924877928487e-004	8.001098e+000	8.079614e-002
6.367324877928486e-004	7.996699e+000	6.603705e-002
6.433213270785629e-004	7.315486e+000	6.041872e-002
6.499101663642772e-004	6.682524e+000	5.519815e-002
6.564990056499915e-004	6.097814e+000	5.037532e-002
6.630878449357059e-004	5.561357e+000	4.595024e-002
6.696766842214201e-004	5.073150e+000	4.192292e-002
6.762655235071345e-004	4.633196e+000	3.829335e-002
6.828543627928487e-004	4.241494e+000	3.506152e-002
6.871794599150413e-004	3.996631e+000	3.304005e-002
6.871894599150413e-004	3.996081e+000	3.422104e-002
6.871994599150414e-004	3.995532e+000	5.188329e-002
6.872094599150414e-004	3.994988e+000	1.819094e-001
6.872194599150415e-004	3.994475e+000	9.140008e-001
6.872294599150415e-004	3.994134e+000	3.289035e+000
6.872494599150415e-004	3.994912e+000	1.040633e+001
6.872544599150415e-004	3.995438e+000	1.145054e+001
6.872644599150415e-004	3.996511e+000	1.179516e+001
6.872844599150415e-004	3.998706e+000	1.191920e+001
6.937395045578987e-004	4.667474e+000	1.193135e+001
7.001945492007559e-004	5.289622e+000	1.194160e+001
7.066495938436130e-004	5.865150e+000	1.194996e+001
7.131046384864701e-004	6.394058e+000	1.195643e+001
7.195596831293272e-004	6.876345e+000	1.196100e+001
7.260147277721844e-004	7.312013e+000	1.196368e+001
7.324697724150416e-004	7.701061e+000	1.196446e+001
7.377797766875028e-004	8.003721e+000	1.196696e+001
7.377897766875028e-004	8.004271e+000	1.195049e+001
7.377997766875029e-004	8.004815e+000	1.181927e+001
7.378097766875029e-004	8.005328e+000	1.108596e+001
7.378197766875030e-004	8.005670e+000	8.710904e+000
7.378397766875030e-004	8.004891e+000	1.593649e+000
7.378447766875029e-004	8.004365e+000	5.494446e-001
7.378547766875030e-004	8.003292e+000	2.048375e-001
7.378747766875030e-004	8.001098e+000	8.079614e-002
7.379147766875029e-004	7.996699e+000	6.603705e-002
7.445036159732172e-004	7.315485e+000	6.041872e-002
7.510924552589315e-004	6.682524e+000	5.519815e-002
7.576812945446458e-004	6.097814e+000	5.037532e-002
7.642701338303602e-004	5.561356e+000	4.595024e-002
7.708589731160744e-004	5.073150e+000	4.192292e-002
7.774478124017888e-004	4.633196e+000	3.829335e-002
7.840366516875030e-004	4.241494e+000	3.506152e-002
7.883617488096956e-004	3.996631e+000	3.304005e-002
7.883717488096956e-004	3.996081e+000	3.422104e-002
7.883817488096957e-004	3.995532e+000	5.188329e-002
7.883917488096957e-004	3.994988e+000	1.819094e-001
7.884017488096958e-004	3.994475e+000	9.140008e-001
7.884117488096958e-004	3.994134e+000	3.289035e+000
