time;V(U_a);V(U_tr);
3.66351e-05;11.4037;7.08029;
3.67351e-05;11.4051;7.08629;
3.68351e-05;11.4038;7.09227;
3.69351e-05;11.4053;7.09825;
3.70351e-05;11.404;7.10422;
3.71351e-05;11.4055;7.11018;
3.72351e-05;11.4041;7.11613;
3.73351e-05;11.4056;7.12207;
3.74351e-05;11.4043;7.12801;
3.75351e-05;11.4058;7.13394;
3.76351e-05;11.4045;7.13986;
3.77351e-05;11.406;7.14577;
3.78351e-05;11.4046;7.15167;
3.79351e-05;11.4061;7.15757;
3.80351e-05;11.4048;7.16346;
3.81351e-05;11.4063;7.16934;
3.82351e-05;11.405;7.17521;
3.83351e-05;11.4064;7.18107;
3.84351e-05;11.4051;7.18693;
3.85351e-05;11.4066;7.19277;
3.86351e-05;11.4053;7.19861;
3.87351e-05;11.4068;7.20444;
3.88351e-05;11.4054;7.21027;
3.89351e-05;11.4069;7.21608;
3.90351e-05;11.4056;7.22189;
3.91351e-05;11.4071;7.22769;
3.92351e-05;11.4058;7.23348;
3.93351e-05;11.4073;7.23927;
3.94351e-05;11.4059;7.24504;
3.95351e-05;11.4074;7.25081;
3.96351e-05;11.4061;7.25657;
3.97351e-05;11.4076;7.26232;
3.98351e-05;11.4062;7.26807;
3.99351e-05;11.4077;7.2738;
4.00351e-05;11.4064;7.27953;
4.01351e-05;11.4079;7.28525;
4.02351e-05;11.4065;7.29096;
4.03351e-05;11.4081;7.29667;
4.04351e-05;11.4067;7.30237;
4.05351e-05;11.4082;7.30806;
4.06351e-05;11.4069;7.31374;
4.07351e-05;11.4084;7.31941;
4.08351e-05;11.407;7.32508;
4.09351e-05;11.4085;7.33074;
4.10351e-05;11.4072;7.33639;
4.11351e-05;11.4087;7.34203;
4.12351e-05;11.4073;7.34767;
4.13351e-05;11.4089;7.35329;
4.14351e-05;11.4075;7.35891;
4.15351e-05;11.409;7.36453;
4.16351e-05;11.4076;7.37013;
4.17351e-05;11.4092;7.37573;
4.18351e-05;11.4078;7.38132;
4.19351e-05;11.4093;7.3869;
4.20351e-05;11.408;7.39247;
4.21351e-05;11.4095;7.39804;
4.22351e-05;11.4081;7.4036;
4.23351e-05;11.4097;7.40915;
4.24351e-05;11.4083;7.41469;
4.25351e-05;11.4098;7.42023;
4.26351e-05;11.4084;7.42576;
4.27351e-05;11.41;7.43128;
4.28351e-05;11.4086;7.43679;
4.29351e-05;11.4101;7.4423;
4.30351e-05;11.4087;7.4478;
4.31351e-05;11.4103;7.45329;
4.32351e-05;11.4089;7.45877;
4.33351e-05;11.4104;7.46425;
4.34351e-05;11.409;7.46972;
4.35351e-05;11.4106;7.47518;
4.36351e-05;11.4092;7.48063;
4.37351e-05;11.4108;7.48608;
4.38351e-05;11.4094;7.49151;
4.39351e-05;11.4109;7.49695;
4.40351e-05;11.4095;7.50237;
4.41351e-05;11.4111;7.50779;
4.42351e-05;11.4097;7.51319;
4.43351e-05;11.4112;7.5186;
4.44351e-05;11.4098;7.52399;
4.45351e-05;11.4114;7.52938;
4.46351e-05;11.41;7.53476;
4.47351e-05;11.4115;7.54013;
4.48351e-05;11.4101;7.54549;
4.49351e-05;11.4117;7.55085;
4.50351e-05;11.4103;7.5562;
4.51351e-05;11.4119;7.56154;
4.52351e-05;11.4104;7.56688;
4.53351e-05;11.412;7.57221;
4.54351e-05;11.4106;7.57753;
4.55351e-05;11.4122;7.58284;
4.56351e-05;11.4107;7.58815;
4.57351e-05;11.4123;7.59345;
4.58351e-05;11.4109;7.59874;
4.59351e-05;11.4125;7.60402;
4.60351e-05;11.411;7.6093;
4.61351e-05;11.4126;7.61457;
4.62351e-05;11.4112;7.61983;
4.63351e-05;11.4128;7.62509;
4.64351e-05;11.4113;7.63034;
4.65351e-05;11.4129;7.63558;
4.66351e-05;11.4115;7.64081;
4.67351e-05;11.4131;7.64604;
4.68351e-05;11.4117;7.65126;
4.69351e-05;11.4133;7.65647;
4.70351e-05;11.4118;7.66168;
4.71351e-05;11.4134;7.66688;
4.72351e-05;11.412;7.67207;
4.73351e-05;11.4136;7.67726;
4.74351e-05;11.4121;7.68243;
4.75351e-05;11.4137;7.6876;
4.76351e-05;11.4123;7.69277;
4.77351e-05;11.4139;7.69792;
4.78351e-05;11.4124;7.70307;
4.79351e-05;11.414;7.70821;
4.80351e-05;11.4126;7.71335;
4.81351e-05;11.4142;7.71848;
4.82351e-05;11.4127;7.7236;
4.83351e-05;11.4143;7.72871;
4.84351e-05;11.4129;7.73382;
4.85351e-05;11.4145;7.73892;
4.86351e-05;11.413;7.74401;
4.87351e-05;11.4146;7.7491;
4.88351e-05;11.4132;7.75418;
4.89351e-05;11.4148;7.75925;
4.90351e-05;11.4133;7.76432;
4.91351e-05;11.4149;7.76938;
4.92351e-05;11.4135;7.77443;
4.93351e-05;11.4151;7.77947;
4.94351e-05;11.4136;7.78451;
4.95351e-05;11.4152;7.78954;
4.96351e-05;11.4138;7.79456;
4.97351e-05;11.4154;7.79958;
4.98351e-05;11.4139;7.80459;
4.99351e-05;11.4155;7.8096;
5.00351e-05;11.414;7.81459;
5.01351e-05;11.4157;7.81958;
5.02351e-05;11.4142;7.82457;
5.03351e-05;11.4158;7.82954;
5.04351e-05;11.4143;7.83451;
5.05351e-05;11.416;7.83947;
5.06351e-05;11.4145;7.84443;
5.07351e-05;11.4161;7.84938;
5.08351e-05;11.4146;7.85432;
5.09351e-05;11.4163;7.85926;
5.10351e-05;11.4148;7.86419;
5.11351e-05;11.4164;7.86911;
5.12351e-05;11.4149;7.87402;
5.13351e-05;11.4166;7.87893;
5.14351e-05;11.4151;7.88383;
5.15351e-05;11.4167;7.88873;
5.16351e-05;11.4152;7.89362;
5.17351e-05;11.4169;7.8985;
5.18351e-05;11.4154;7.90338;
5.19351e-05;11.417;7.90825;
5.20351e-05;11.4155;7.91311;
5.21351e-05;11.4172;7.91796;
